PROPERTY,REP_FIRM,ADVERTISER_NAME,ADVERTISER_GUID,YEAR_NUMBER,MONTH_NUMBER,DEMOGRAPHIC,ORDER_TYPE,CASH_OR_TRADE,AGENCY_NAME,AGENCY_GUID,SALES_OFFICE_NAME,AE_CODE,SALES_PERSON,PARENT_PRODUCT_CODE_NAME,PRODUCT_CODE_NAME,DEV_TYPE,PROGRAM_TYPE,CALENDAR_TYPE,SHARE_OF_ORDER,ORDER_NUMBER,CORE_ADVERTISER_MID,CORE_ADVERTISER_TOP,NET_AMOUNT,GROSS_AMOUNT
KBNT,UNIVISION - AFFILIATE,Eli Lilly & Company,27aee75d-db9c-42a1-93d2-9b0c6fdd06a9,2026,5,Households,Time Sale - General,C,Apex Exchange,00000000-0000-0000-0000-000000000000,Holding Company - NYC,TWFIG,Wendy Figueroa,Pharmaceutical - DTC,Prescription Drugs - DTC,,,CALENDAR,0,25040749,,,595,700
KPMR,UNIVISION - AFFILIATE,Gold Coast Toyota Dealers,00000000-0000-0000-0000-000000000000,2026,4,Adults 35+,Time Sale - General,C,"Ad Americas, LLC",00000000-0000-0000-0000-000000000000,MM - National LAX,RDWIT,Dayna Wittman,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25040753,,,2873,3380
KPMR,UNIVISION - AFFILIATE,Gold Coast Toyota Dealers,00000000-0000-0000-0000-000000000000,2026,4,Adults 35+,Time Sale - General,C,"Ad Americas, LLC",00000000-0000-0000-0000-000000000000,MM - National LAX,RDWIT,Dayna Wittman,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25040753,,,2873,3380
KPMR,UNIVISION - AFFILIATE,Gold Coast Toyota Dealers,00000000-0000-0000-0000-000000000000,2026,4,Adults 35+,Time Sale - General,C,"Ad Americas, LLC",00000000-0000-0000-0000-000000000000,MM - National LAX,RDWIT,Dayna Wittman,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,BROADCAST,0,25040754,,,3026,3560
KPMR,UNIVISION - AFFILIATE,Gold Coast Toyota Dealers,00000000-0000-0000-0000-000000000000,2026,4,Adults 35+,Time Sale - General,C,"Ad Americas, LLC",00000000-0000-0000-0000-000000000000,MM - National LAX,RDWIT,Dayna Wittman,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Foreign,,,CALENDAR,0,25040754,,,3026,3560
KBZO,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,6,Adults 25-54,Time Sale - General,C,Global Team Blue,48190d86-2c05-49ac-ac79-bb1c8f194e8c,Holding Company - DFW,RCDIA,Crystal Diaz,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,BROADCAST,0,25040758,,,4955.5,5830
KBZO,UNIVISION - AFFILIATE,Ford Dealers Association,0559cc81-ef81-4926-899c-e64bdf7a7b28,2026,6,Adults 25-54,Time Sale - General,C,Global Team Blue,48190d86-2c05-49ac-ac79-bb1c8f194e8c,Holding Company - DFW,RCDIA,Crystal Diaz,Automotive - Manufacturers and Dealers,Auto Dealers Assoc Domestic,,,CALENDAR,0,25040758,,,4955.5,5830
KUPB,UNIVISION - AFFILIATE,McDonald's (A),00000000-0000-0000-0000-000000000000,2026,6,Adults 25-54,Time Sale - General,C,Moroch & Associates,73efd061-886e-4233-b023-e2ae0d3e8eb2,MM - National DFW,CPOEH,Christopher Poehler,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25040759,,,1599.49,1881.75
KUPB,UNIVISION - AFFILIATE,McDonald's (A),00000000-0000-0000-0000-000000000000,2026,6,Adults 25-54,Time Sale - General,C,Moroch & Associates,73efd061-886e-4233-b023-e2ae0d3e8eb2,MM - National DFW,CPOEH,Christopher Poehler,Restaurants - Quick Serve,Fast Food,,,CALENDAR,0,25040759,,,1599.49,1881.75
KEUS,UNIVISION - AFFILIATE,McDonald's (A),00000000-0000-0000-0000-000000000000,2026,6,Adults 25-54,Time Sale - General,C,Moroch & Associates,73efd061-886e-4233-b023-e2ae0d3e8eb2,MM - National DFW,CPOEH,Christopher Poehler,Restaurants - Quick Serve,Fast Food,,,BROADCAST,0,25040760,,,104.98,123.5
